Feature ID,Locus Name,Gene length,Chromosome region start,Chromosome region end,0 Hour Time Point Unique gene reads,Total gene reads,RPKM,6 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM  0 to 6 hours ,12 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM 0 to 12 hours,21 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM 0 to 21 hours
rrn16Sd,rrn16Sd,1589,5945699,5947288,112029,4100973,150594.4727,62546,3779767,150575.3356,-1.000127093,156683,4211223,149433.1847,-1.007771286,163940,4194480,147859.747,-1.018495404
ssrA,ssrA,490,2857,3347,36285,36288,4321.285618,7375,7382,953.653636,-4.53129465,24939,24939,2869.760575,-1.50580005,17853,17853,2040.848906,-2.117396151
psaA,alr5154,2359,6151317,6153676,23343,23343,577.3972998,9748,9752,261.6847774,-2.206461169,22556,22557,539.158068,-1.070923972,23919,23920,567.9746629,-1.01658989
psaB (Nostoc_chromosome 6153698..6156024),alr5155,2326,6153698,6156024,17346,17347,435.1717429,7098,7118,193.7139877,-2.246465256,17916,17919,434.3769472,-1.001829737,14446,14447,347.9074193,-1.25082628
cpcC,alr0530,961,621957,622918,15738,15738,955.5912683,5019,5019,330.6027914,-2.8904513,8440,8440,495.2012915,-1.929702698,6745,6745,393.146392,-2.43062454
pecB,alr0523,619,616277,616896,13051,13051,1230.266391,3330,3330,340.5385579,-3.612708055,943,943,85.89813872,-14.32238707,648,648,58.63812634,-20.98065658
rbcL,alr1524,1531,1785869,1787400,10949,10949,417.2970211,3958,3958,163.6489817,-2.549951834,7885,7885,290.395055,-1.436997683,6680,6681,244.4342219,-1.707195571
alr2136,alr2136,802,2562979,2563781,10815,10826,787.6616011,1602,1619,127.7865628,-6.163884401,5561,5564,391.1789375,-2.013558312,5342,5350,373.6587372,-2.107970516
cpcA,alr0529,592,621328,621920,8906,8906,877.8230966,2008,2008,214.7112053,-4.088389777,3101,3101,295.3539404,-2.972105588,2991,2991,283.0026058,-3.101819838
asl2329,asl2329,304,2809069,2809373,7906,7906,1517.501908,1224,1224,254.8710701,-5.953998261,41,41,7.604540599,-199.5520819,83,83,15.2932658,-99.22680529
infB,alr3832,3220,4630261,4633481,7635,7635,138.3563796,2918,2921,57.42333259,-2.409410484,11964,11964,209.4996214,1.514202829,10545,10545,183.4367893,1.325828197
groEL (Nostoc_chromosome 4419068..4420803),alr3662,1735,4419068,4420803,6235,6236,209.7261801,3235,3235,118.0286702,-1.776908778,7712,7713,250.6608811,1.195181646,7550,7551,243.7814855,1.162379849
alr1525,alr1525,499,1787394,1787893,6017,6135,717.3978006,1968,1998,253.4589588,-2.830429842,3674,3736,422.1521755,-1.699381982,3220,3254,365.2689288,-1.964026349
psbB,all0138,1630,141750,143380,5955,5955,213.1769188,3888,3888,150.9911038,-1.411850854,7288,7288,252.1061669,1.182614742,6689,6689,229.8631318,1.078274013
rpoC2,alr1596,4153,1872480,1876633,5886,5886,82.69977845,2791,2791,42.54128593,-1.943988684,13074,13075,177.5180326,2.14653577,10800,10800,145.6657846,1.76138059
apcE,alr0020,3499,15677,19176,5767,5767,96.17274861,3847,3848,69.61516054,-1.381491443,2283,2283,36.7895672,-2.614131014,2686,2686,42.99894438,-2.236630457
sigE,alr3800,1084,4592002,4593086,5672,5672,305.318387,2598,2598,151.7129219,-2.012474503,2384,2384,124.0051376,-2.462143045,2258,2258,116.6783781,-2.616752068
cpcD,asr0531,343,622949,623292,5212,5425,922.8936162,810,918,169.4186705,-5.447413874,2147,2252,370.2004786,-2.492956302,1680,1746,285.1319258,-3.236724943
alr1041,alr1041,1138,1211864,1213002,4710,4710,241.5041869,1971,1971,109.6369816,-2.202762093,5181,5181,256.7048299,1.06294153,6901,6901,339.6764933,1.406503538
clpB (Nostoc_chromosome 6054793..6057401),alr5084,2608,6054793,6057401,4551,4551,101.8228545,2502,2502,60.72848214,-1.67669026,779,779,16.84195801,-6.045784844,622,622,13.35914075,-7.62196135
lrtA,all3184,742,3853344,3854086,4322,4322,339.8809916,1627,1627,138.8022019,-2.448671468,682,682,51.82546162,-6.558185514,902,902,68.09235588,-4.991470588
alr4550,alr4550,1828,5443360,5445188,4198,4198,134.002303,2284,2284,79.09201067,-1.694258394,5476,5476,168.9078982,1.26048504,3307,3307,101.3336606,-1.322386877
dnaK (Nostoc_chromosome 2094869..2096871),alr1742,2002,2094869,2096871,4163,4164,121.3647784,2445,2445,77.30854479,-1.569875344,1542,1542,43.42931809,-2.794535666,1780,1780,49.80255883,-2.436918528
alr2075,alr2075,1393,2481531,2482924,3905,3906,163.6165165,481,483,21.94869595,-7.454498291,2560,2560,103.6219018,-1.578976198,1126,1126,45.27755868,-3.613633801
clpB (Nostoc_chromosome 3642243..3644863),alr2999,2620,3642243,3644863,3798,3798,84.58623381,2472,2472,59.72551224,-1.416249617,8563,8564,184.3054073,2.178905467,7879,7881,168.4906339,1.991939188
alr0487,alr0487,697,581942,582639,3707,3707,310.338622,1311,1311,119.0645902,-2.606472851,10881,10881,880.2352207,2.836370205,6869,6869,552.0221018,1.778773452
fus (Nostoc_chromosome 5253253..5255438),alr4383,2185,5253253,5255438,3636,3636,97.09982622,1501,1501,43.48524878,-2.232937121,896,896,23.12167424,-4.199515365,785,785,20.12398308,-4.825079898
psbAI,alr4866,1183,5796798,5797981,3626,4078,201.1446548,1968,3151,168.6072972,-1.192977161,4734,5440,259.2846847,1.289045861,2255,2665,126.185135,-1.59404398
cpcB,alr0528,622,620717,621339,3591,3591,336.876751,1439,1439,146.4478895,-2.300318237,1237,1237,112.1352162,-3.0042012,1835,1835,165.2499786,-2.038588772
all1873,all1873,448,2235679,2236127,3572,3572,465.2425802,1045,1045,147.655961,-3.150855387,4526,4526,569.6383835,1.224390045,2009,2009,251.1872844,-1.852174091
all1872,all1872,1612,2234078,2235690,3267,3267,118.2578874,1861,1861,73.07924364,-1.618214441,4349,4349,152.1202673,1.286343521,3159,3159,109.7691538,-1.077332596
ndhI,alr0224,685,240879,241564,3153,3153,268.5835555,1621,1621,149.7977022,-1.792975137,3894,3894,320.5295586,1.193407236,2915,2915,238.3656745,-1.126771109
apcB,alr0022,589,20065,20654,3149,3155,312.5576178,1410,1411,151.6437191,-2.061131313,1496,1496,143.2118676,-2.182484056,2154,2155,204.9404605,-1.525114255
asl3888,asl3888,265,4689348,4689613,3088,3088,679.9507187,975,975,232.9010518,-2.919483246,2775,2776,590.6582816,-1.151174444,3628,3628,766.8618492,1.127819749
rbpB,all2928,412,3565810,3566222,3040,3041,430.6904317,2470,2470,379.5005812,-1.13488741,1208,1208,165.3226766,-2.605150368,3603,3603,489.8496185,1.137358953
alr0113,alr0113,652,115134,115786,2835,2835,253.7181213,1110,1110,107.7675702,-2.354308636,2201,2201,190.3422315,-1.332957585,1255,1255,107.8181456,-2.353204276
recA,all3272,1174,3944477,3945651,2807,2807,139.5148174,1109,1109,59.79655407,-2.33315815,6855,6855,329.232024,2.359835536,4952,4952,236.2698291,1.693510649
secA,alr4851,2893,5778610,5781503,2779,2779,56.05135716,1689,1689,36.95676293,-1.516673884,2603,2603,50.73275468,-1.104835673,2566,2566,49.68255779,-1.128189845
apcA,all0450,586,19514,20100,2760,2765,275.3236631,1485,1487,160.6297786,-1.714026288,1709,1711,164.6323219,-1.672354857,3002,3006,287.334046,1.043622778
pecC,alr0525,937,617506,618443,2666,2666,166.0223564,1332,1332,89.98649621,-1.844969672,263,263,15.82628081,-10.49029512,308,308,18.4122496,-9.016951215
cpcE,alr0532,931,623205,624136,2653,2689,168.5338495,1119,1165,79.21163042,-2.127640204,1382,1416,85.75832345,-1.965218567,818,828,49.81686387,-3.383068231
tufA,all4337,1330,5190440,5191770,2646,2654,116.4381501,1536,1539,73.24866047,-1.589628388,7169,7180,304.3935972,2.614208462,9142,9156,385.6114057,3.311727345
chlH (Nostoc_chromosome 5225916..5230003),all4365,4087,5225916,5230003,2568,2916,41.63215592,1784,1919,29.72234324,-1.400702347,4959,5365,74.01637277,1.777865478,4436,4718,64.66198416,1.553174049
all1338,all1338,1372,1588787,1590159,2493,2550,108.4506323,1018,1071,49.41377889,-2.19474476,4760,4934,202.7718874,1.869716045,3399,3518,143.6274506,1.32435789
alr0402,alr0402,433,471851,472284,2456,2456,330.9683658,701,702,102.6270686,-3.224961703,1148,1148,149.4915695,-2.213960071,1650,1650,213.4478457,-1.550581898
alr1809,alr1809,568,2174189,2174757,2444,2444,251.0723487,1004,1004,111.8917549,-2.243886057,264,264,26.20705987,-9.580332549,192,192,18.93427241,-13.2602058
asr1328,asr1328,256,1577088,1577344,2440,2440,556.1550441,596,596,147.3733659,-3.773782601,8,8,1.7620277,-315.6335421,16,16,3.500868075,-158.86204
all2133,all2133,433,2559897,2560330,2389,2389,321.9395056,1255,1255,183.4714687,-1.754711552,1436,1436,186.994681,-1.721650605,203,203,26.26055314,-12.25943353
